"レンダリングサイズ (現在:10%)","Rendering size (Now:10%)"
"選択オブジェクトにサブサーフを追加","Add a Subsurf on selected objects"
"選択したオブジェクトにサブサーフモディファイアを追加します","Add subsurfmodifaia to the selected object"
"カトマルクラーク","Catmulclark"
"シンプル","Simple"
"細分化方法","Subdivision method"
"ビューの分割数","Number of views"
"レンダーの分割数","Split number render"
"UVを細分化","Subdivided UVs"
"最適化表示","Optimized view"
"アーマチュアの「体積を維持」をまとめて設定","Set keep up the volume the armature"
"選択したオブジェクトのアーマチュアモディファイアの「体積を維持」をまとめてオン/オフします","Maintain volume in the armtuamodifaia of the selected objects together off and on the"
"「体積を維持」を使用","Use the preserve volume"
"モディファイア操作","Modifier action"
"モディファイア関係の操作です","Is working with modifiers"
"サブサーフ関係","Save surf related"
"サブサーフェイス関係の操作です","Is the relationship between subsurface operations"
"ブーリアン関係","Boolean related"
"ブーリアン関係の操作です","Is the relationship between Boolean operations"
"ブーリアン追加 (交差)","Boolean Add (cross)"
"ブーリアン追加 (統合)","Boolean Add (integrated)"
"ブーリアン追加 (差分)","Boolean Add (diff)"
"ブーリアン適用 (交差)","Boolean apply (cross)"
"ブーリアン適用 (統合)","Boolean apply (integrated)"
"ブーリアン適用 (差分)","Boolean apply (diff)"
"アーマチュア関係","Armature connection"
"アーマチュア関係の操作です","Armature connection operation"
"全リネーム","Rename all"
"全適用","All applicable"
"全削除","Delete all"
"ビュー表示","View"
"展開/閉じる","Expand / collapse"
"使用同期","Use over the"
"メッシュデータ","Mesh data"
"タブ > ","Tab &gt; "
"UVマップ","UV maps"
"まとめてUVをリネーム","Bulk Rename with UV"
"選択オブジェクト内の指定UVをまとめて改名します","Renames the selected objects within designated UV together"
"リネームするUV名","UV name rename"
"過去のUV","Past UV"
"新しいUV名","New UV name"
"新しいUV","New UV"
" はメッシュオブジェクトではありません、無視します"," A mesh object, ignore"
"まとめて指定名のUVを削除","Bulk delete name UV"
"指定した名前と同じ名のUVを、選択オブジェクトから削除します","Removes the selected object UV of the same name as the specified"
"削除するUV名","Remove the UV name"
" はメッシュオブジェクトではありません、無視します"," A mesh object, ignore"
"UV名を変更","Rename the UV"
"アクティブなUVの名前を変更します(テクスチャのUV指定もそれに伴って変更します)","Renames active UV (UV texture also changes accordingly)"
"新しいUV名","New UV name"
"UVが存在しません","No UV"
"マテリアル「","Material ""
"」のUV指定を修正しました",""The fixed UV designation"
"メッシュ「","Mesh ""
"」のUV指定を修正しました",""The fixed UV designation"
"メッシュオブジェクトではありません","Mesh objects are not"
"UVが存在しません","No UV"
"未使用のUVを削除","Remove unused UV"
"アクティブなオブジェクトのマテリアルで未使用なUVを全削除します(他の部分に使われているUVは消してしまいます)","Active object material (the UV is used in other parts disappear) delete unused UV total"
"全ての選択したメッシュ","All the selected mesh"
" を削除しました"," Removed"
"はメッシュオブジェクトではありません","A mesh object is not"
"UVを移動","Move to UV"
"アクティブなオブジェクトのUVを移動して並び替えます","Sorts, by moving the active object's UV"
"上へ","To the top"
"下へ","To the bottom"
"方向","Direction"
"アクティブオブジェクトがありません","There is no active object"
"これはメッシュオブジェクトではありません","This is not a mesh object"
"UV数が1つ以下です","UV number is one less than"
"UV操作","UV operations"
"UV関係の操作です","UV related operations"
"メッシュデータ","Mesh data"
"タブ > ","Tab &gt; "
"頂点色","Vertex color"
"頂点色を移動","Move the vertex color"
"アクティブなオブジェクトの頂点色を移動して並び替えます","Move the vertex color of active objects, sorts"
"上へ","To the top"
"下へ","To the bottom"
"方向","Direction"
"アクティブオブジェクトがありません","There is no active object"
"これはメッシュオブジェクトではありません","This is not a mesh object"
"頂点色数が1つ以下です","Vertex depth is less than one"
"頂点色を塗り潰す","Fill the vertex color"
"アクティブなオブジェクトの頂点色を指定色で塗り潰します","Vertex color of the active object with the specified color fills"
"頂点色","Vertex color"
"アクティブオブジェクトがありません","There is no active object"
"これはメッシュオブジェクトではありません","This is not a mesh object"
"頂点色が存在しません","Vertex color does not exist"
"塗り潰す","Fill"
"キーフレームを削除 (確認しない)","Delete keyframes (not verified)"
"選択した全てのキーフレームを確認せずに削除します","Delete without checking for all selected keyframes"
"全キーフレームを大掃除","Cleaning up all keyframes"
"全てのアクションの重複したキーフレームを削除します","Remove the keyframe duplicates of all actions"
"キーを1つは残す","Leave one of the key"
"しきい値","Threshold"
"画像名を使用するファイル名に","Using the name of the image file name"
"アクティブな画像の名前を、使用している外部画像のファイル名にします","External images are using the name of the active image file name"
"拡張子も含む","Including the extension"
"全ての画像名を使用するファイル名に","In the file name to use for all image names"
"全ての画像の名前を、使用している外部画像のファイル名にします","The names of all images using external image file name"
"拡張子も含む","Including the extension"
"全ての画像を再読み込み","Load all images"
"外部ファイルを参照している画像データを全て読み込み直します","Reloads all the image data referring to external file"
"指定色で塗り潰し","Fill with color"
"アクティブな画像を指定した色で全て塗り潰します","All fill in the color you specify the active image"
"塗り潰す色","Color fill"
"透明度","Transparency"
"透明度","Transparency"
"画像ファイル名を変更","Change the name of the image file"
"アクティブな画像のファイル名を変更します","Change the file name of the active image"
"新しいファイル名","New file name"
"この画像には外部ファイルが存在しません","External file does not exist on this image"
"画像ファイル名が元と同じです","The image file name is the same as the original"
"画像をぼかす (重いので注意)","(Note the heavy) blurs an image"
"アクティブな画像をぼかします","Blurs an image of active"
"ぼかし量","Blur amount"
"アクティブな画像が見つかりません","Active image not found"
"水平反転","Flip horizontally"
"アクティブな画像を水平方向に反転します","Active image flips horizontally"
"アクティブな画像が見つかりません","Active image not found"
"垂直反転","Flip vertically"
"アクティブな画像を垂直方向に反転します","Active image flips vertical"
"アクティブな画像が見つかりません","Active image not found"
"180°回転","Rotate 180 degrees"
"アクティブな画像を180°回転します","Active image rotates 180 °"
"アクティブな画像が見つかりません","Active image not found"
"変形","Deformation"
"画像の変形処理メニューです","Image deformation processing menu."
"分離している頂点を選択","Select the vertices are isolated"
"シームによって分離している頂点を選択します","Select the vertex are separated by seams"
"カーソルの位置をリセット","Reset the position of the cursor"
"2Dカーソルの位置を左下に移動させます","2D cursor moves in the lower left"
"中央","Central"
"右上","On the upper right"
"右下","Lower right"
"左下","Lower left"
"左上","On the top left"
"位置","Location"
"パネル表示切り替え(モードA)","Toggle Panel (mode A)"
"プロパティ/ツールシェルフの「両方表示」/「両方非表示」をトグルします","The properties/tool shelf "both display" / "both hide" toggle"
"パネル表示切り替え(モードB)","Toggle Panel (mode B)"
"「パネル両方非表示」→「ツールシェルフのみ表示」→「プロパティのみ表示」→「パネル両方表示」のトグル",""Panel both hide" → show only the tool shelf → show only properties → "Panel both display" for toggle"
"パネル表示切り替え(モードC)","Toggle Panel (mode C)"
"「パネル両方非表示」→「ツールシェルフのみ表示」→「プロパティのみ表示」... のトグル",""Panel both hide" → see only the tool shelf → view properties only. The toggle"
"ショートカット登録用","Shortcut for registration"
"ショートカットに登録すると便利かもしれない機能群です","Shortcuts and features that might come in handy"
"再起動","Restart"
"Blenderを再起動します","Restart the Blender"
"最新の自動保存の読み込み","Load last AutoSave"
"復元するために自動的に保存したファイルの最新ファイルを開きます","Open the file automatically in order to restore the most recent file"
"最新の自動保存ファイルを読み込みました","Load last AutoSave file"
"確認せずに上書き保存","Save without prompting"
"確認メッセージを表示せずに上書き保存します","Save the changes without displaying the confirmation message"
" を保存しました"," Has been saved"
"先に「名前をつけて保存」して下さい","To save your find"
"全ての「すべての辺を表示」をオン","All show all sides turn"
"全てのオブジェクトの「すべての辺を表示」表示設定をオンにします(オフも可能)","Show all sides of all objects (can be off) turn the display settings"
"オンにする","To turn on"
"全ての最高描画タイプを一括設定","All the best drawing type schemes"
"全てのオブジェクトの「最高描画タイプ」を一括で設定します",""Best drawing types in the object of all sets at once"
"メッシュ","Mesh"
"カーブ","Curve"
"サーフェイス","Surface"
"メタボール","Metaballs"
"テキスト","Text"
"アーマチュア","Armature"
"ラティス","Lattice"
"エンプティ","Empty"
"カメラ","Camera"
"ランプ","Lamp"
"スピーカー","Speakers"
"全てのオブジェクト","All objects"
"オブジェクトのタイプ","The type of the object"
"テクスチャ","Texture"
"ソリッド","Solid"
"ワイヤー","Wire"
"バウンド","Bound"
"描画タイプ","Drawing type"
"全てのデータ名をオブジェクト名と同じにする","All the data name to object name and same"
"全てのオブジェクトのデータ(メッシュデータなど)の名前を、リンクしているオブジェクト名に置換します","Replaces object name linked to name all the object data (mesh data etc)"
"選択中のオブジェクトのみ","Only the selected object"
"全てのマテリアルの「半透明影の受信」をオン","On receiving the Semitransparent Shadow material of all"
"全てのマテリアルの「半透明影を受信するかどうか」についての設定をオン(オフ)にします","You to receive a semi-transparent shadow?"of all material (off) on the"
"オフにする","To turn off"
"マテリアルのカラーランプ設定を他にコピー","Copy the material color ramp settings"
"アクティブなマテリアルのカラーランプ設定を他の全マテリアル(選択オブジェクトのみも可)にコピーします","Color ramp settings of the active material is all material other (only selected objects are allowed) to copy"
"選択オブジェクトのみ","Only the selected object"
"アクティブマテリアルがありません","Not active"
"アクティブマテリアルのFreeStyle色を他にコピー","FreeStyle color of an active copy to other"
"アクティブなマテリアルのFreeStyleの色設定を他の全マテリアル(選択オブジェクトのみも可)にコピーします","FreeStyle material active color for all materials other (only selected objects are allowed) to copy"
"選択オブジェクトのみ","Only the selected object"
"アルファ","Alpha"
"アクティブマテリアルがありません","Not active"
"全マテリアルのFreeStyle色をディフューズ色に","FreeStyle color of all material diffuse color"
"全マテリアル(選択オブジェクトのみも可)のFreeStyleライン色をそのマテリアルのディフューズ色+ブレンドした色に置換します","All material (only selected objects are allowed) for FreeStyle line color of the material diffuse color + a blend to replace the"
"選択オブジェクトのみ","Only the selected object"
"ブレンド色","Blend color"
"ミックス","Mix"
"乗算","Multiplication"
"スクリーン","Screen"
"ブレンドモード","Blend mode"
"ブレンド強度","Blends strength"
"全マテリアルのオブジェクトカラーを有効に","To enable object color for all materials"
"全マテリアルのオブジェクトカラーの設定をオンもしくはオフにします","The select or clear all object color settings"
"オン/オフ","Turn on/off"
"選択オブジェクトのみ","Only the selected object"
"全てのバンプマップの品質を設定","Set the bump of all quality"
"全てのテクスチャのバンプマップの品質を一括で設定します","Bump-map texture of all quality sets in bulk"
"オリジナル","Original"
"互換性","Compatibility"
"低品質","Low quality"
"中品質","In the quality"
"最高品質","Highest quality"
"バンプ品質","Quality bump"
"全テクスチャ名を使用する画像ファイル名に","All image file names using the texture name"
"全てのテクスチャの名前を、使用している外部画像のファイル名にします","The names of all textures use external image file name"
"拡張子も含む","Including the extension"
"の画像が指定されていません","The image is not specified"
"UV指定が空欄な場合アクティブUVで埋める","UV is a blank if you fill the active UV"
"テクスチャのUV指定欄が空欄の場合、リンクしているメッシュオブジェクトのアクティブなUV名で埋めます","Under active UV texture UV specified fields linked to an empty mesh object fills"
"選択オブジェクトのみ","Only the selected object"
"全ての画像名を使用するファイル名に","In the file name to use for all image names"
"全ての画像の名前を、使用している外部画像のファイル名にします","The names of all images using external image file name"
"拡張子も含む","Including the extension"
"物理演算の開始/終了フレームを一括設定","Set physical operation start / end frames at once"
"物理演算などの開始/終了フレームを設定する部分にレンダリング開始/終了フレーム数を割り当てます","Assign render start / end frames portions to set start / end frames, such as physics"
"開始オフセット","Start offset"
"開始オフセット","Start offset"
"剛体","Was that body"
"布(クロス)","Fabric (cloth)"
"ソフトボディ","Soft body"
"流体","Fluid"
"ダイナミックペイント","Dynamic paint"
"パーティクル","Particle"
"RigidBodyのキャッシュをクリア","Clear the cache of the RigidBody"
"設定は維持して剛体ワールドを作り直します","Keep setting, recreate the rigid world"
"全体処理(使用には注意を)","Whole process (use care)"
"全データを一括処理する機能群です","Is all data processing functions"
"オブジェクト","Object"
"全オブジェクトを一括処理する機能群です","Is a set of batch processing all the objects and features"
"マテリアル","Material"
"全マテリアルを一括処理する機能群です","Is all material processing functions"
"テクスチャ","Texture"
"全テクスチャを一括処理する機能群です","All is a set of batch processing and texture feature"
"画像","Images"
"全画像を一括処理する機能群です","Is the set of all image processing features"
"物理演算","Physical operation"
"物理演算関係のデータを一括処理する機能群です","Is the relationship between physical operation of data processing functions"
"全ての画像を再読み込み","Load all images"
"外部ファイルを参照している画像データを全て読み込み直します","Reloads all the image data referring to external file"
"全ての画像をtexturesフォルダに保存し直す","Resave textures folder, all images"
"外部ファイルを参照している画像データを全てtexturesフォルダに保存し直します","All external files referenced by image data to resave the textures folder"
"blendファイルを保存してから実行して下さい","Please run save the blend file"
"texturesフォルダに保存し直しました","repaired and stored in the textures folder"
"「最近使ったファイル」をテキストで開く","Open text in "recent files""
"「最近使ったファイル」をBlenderのテキストエディタで開きます","Open the "recent files" in Blender text editor"
"「ブックマーク」をテキストで開く","Open text in "bookmarks""
"ファイルブラウザのブックマークをBlenderのテキストエディタで開きます","Blender text editor open the file browser bookmarks"
"四角ポリゴン球","Rectangle polygon sphere"
"四角ポリゴンのみで構成された球体メッシュを追加します","Adds a spherical mesh is composed only of quadrilateral polygon"
"分割数","Split number"
"半径(大体)","RADIUS (roughly)"
"視点に揃える","Align view"
"位置","Location"
"回転","Rotation"
"四角ポリゴン球","Rectangle polygon sphere"
"頂点のみ","Only the vertices"
"1頂点のみのメッシュオブジェクトを3Dカーソルの位置に追加します","Only 1 vertex meshes 3D adds to the position of the cursor"
"バックグラウンドでレンダリング","Background rendering."
"コマンドラインから現在のblendファイルをレンダリングします","Renders the current blend file from the command line"
"Blenderを終了","Quit Blender"
"静止画","Stills"
"アニメーション","Animation"
"設定モード","Setting mode"
"スレッド数","Number of threads"
"blendファイルを開いた状態で実行して下さい","Please do open the blend file"
"解像度の倍率を設定","Set the magnification of the resolution"
"設定解像度の何パーセントの大きさでレンダリングするか設定します","Set to be rendered settings resolution percentage?"
"レンダリングサイズ(%)","Render size (%)"
"レンダースロットを設定","Set the render slots"
"レンダリング結果を保存するスロットを設定します","Sets a slot to save the rendering result"
"スロット","Slot"
"スレッド数を切り替え","Switching threads"
"レンダリングに使用するCPUのスレッド数を切り替えます","Switch the thread number of CPUS used to render"
"スレッド数","Number of threads"
"レンダリング時のサブサーフレベルをまとめて設定","Set the Subsurf levels during rendering"
"レンダリング時に適用するサブサーフの細分化レベルをまとめて設定します","Together sets the granularity of Subsurf applied during rendering"
"絶対値","Absolute value"
"相対値","Relative value"
"設定モード","Setting mode"
"細分化レベル","Level of granularity"
"設定値が不正です","Invalid setting value"
"レンダリング時のサブサーフレベルをプレビュー値と同期","Sync preview value when rendering the Subsurf levels"
"全オブジェクトのレンダリング時に適用するサブサーフの細分化レベルを、プレビューでのレベルへと設定します","Granularity of Subsurf applied during the rendering of all objects set to level in the preview"
"細分化レベル オフセット","Subdivision-level offset"
"レンダリングサイズ(%)","Render size (%)"
"設定解像度の何パーセントの大きさでレンダリングするか設定します","Set to be rendered settings resolution percentage?"
"レンダーの簡略化","Simplification of the render"
"レンダリングの簡略化設定をします","The simplified settings"
"レンダースロット","Render slots"
"レンダリング結果を保存するスロットを変更します","Change the slot to save the rendering result"
"スロット","Slot"
"使用シェーディング","Use shading"
"シェーディングのオン/オフをします","The shading on/off"
"全サブサーフ細分化レベル","All Subsurf levels of granularity"
"全オブジェクトのサブサーフ細分化レベルをまとめて設定します","All objects save surf subdivision level sets together"
"細分化 + 1","Subdivision + 1"
"細分化 - 1","Subdivision-1"
"細分化 = 0","Subdivision = 0"
"細分化 = 1","Subdivision = 1"
"細分化 = 2","Subdivision = 2"
"細分化 = 3","Subdivision = 3"
"プレビュー値に同期","Synchronize the preview value"
"解像度 X","RES X"
"解像度 Y","RES Y"
"レンダリングサイズ (現在:","Render size (currently:"
"レンダースロット (現在:スロット","Render slot (slot:"
"ファイルフォーマット","File formats"
"開始フレーム","Start frame"
"最終フレーム","The final frame"
"フレームステップ","Step frame"
"アンチエイリアス使用","Use anti-aliasing"
"AOを使用","AO"
"FreeStyleの使用","Using the FreeStyle"
" (現在 自動検知)"," (Currently automatic detection)"
" (現在 定値："," (Current constant value:"
"アンチエイリアス サンプル数","Anti-aliasing samples."
"AOサンプル数","AO samples."
"パイメニュー","Pie menu"
"ウィンドウ関係のパイメニューです","Is a pie menu window relationship"
"エディタータイプ","Editor type"
"エディタータイプ変更のパイメニューです","Change the editor type pie menu is"
"エディタータイプ","Editor type"
"エディタータイプ変更のパイメニューです","Change the editor type pie menu is"
"テキストエディター","Text editor"
"アウトライナー","Out liner"
"プロパティ","Property"
"3Dビュー","3D view"
"UV/画像エディター","UV / image editor"
"ノードエディター","Nordeditor"
"アニメ関係","Anime related"
"その他","Other"
"エディタータイプ(アニメーション)","Editor type (animation)"
"エディタータイプ(アニメーション関係)変更のパイメニューです","Is a pie menu change the editor type (animation related)"
"NLAエディター","The NLA Editor"
"ドープシート","Dope sheet"
"グラフエディター","Graph Editor"
"タイムライン","Timeline"
"エディタータイプ(その他)","Editor type (other)"
"エディタータイプ(その他)変更のパイメニューです","Is a pie menu change the editor type (other)"
"ロジックエディター","Logic Editor"
"ビデオシーケンスエディター","Video sequence editor"
"動画クリップエディター","Video clip Editor"
"ファイルブラウザー","File browser"
"Pythonコンソール","Python console"
"情報","Information"
"ユーザー設定","User settings"
"エディタータイプ変更","Change the editor type"
"エディタータイプを変更します","Change the editor type"
"エリアタイプ","Area type"
"UIの英語・日本語 切り替え","English UI, Japanese switch"
"インターフェイスの英語と日本語を切り替えます","Japan language with English interface switch"
"割り当てのないマテリアルを削除","Delete non-assignment material"
"面に一つも割り当てられてないマテリアルを全て削除します","Delete all one assigned to a surface material"
"マテリアルスロット全削除","Remove all material slots"
"このオブジェクトのマテリアルスロットを全て削除します","Delete all material slots for this object"
"空のマテリアルスロット削除","Delete empty material slots"
"このオブジェクトのマテリアルが割り当てられていないマテリアルスロットを全て削除します","Delete all material of this object has not been assigned material slots"
"マテリアルスロットを移動","Move the material slots"
"アクティブなマテリアルスロットを移動させます","Moves the active material slots"
"上へ","To the top"
"下へ","To the bottom"
"モード","Mode"
"既に一番上です","It is already at the top"
"既に一番下です","It is already at the bottom"
"スロットを一番上へ","Slot to the top"
"アクティブなマテリアルスロットを一番上に移動させます","Move the active material slots on top"
"スロットを一番下へ","Slots to the bottom"
"アクティブなマテリアルスロットを一番下に移動させます","Move the active material slot at the bottom"
"上へ","To the top"
"下へ","To the bottom"
"シェイプキーを複製","Duplicate a shape key"
"アクティブなシェイプキーを複製します","Duplicate the active shape key"
"シェイプブロック名を調べる","Examine the shape name"
"シェイプブロックの名前を表示し、クリップボードにコピーします","Copy to the Clipboard, and then displays the name of the shape blocks"
"シェイプキーブロップ名は「","Shape Kiev prop name ""
"」です",""Is"
"シェイプキーが存在しません","Shape key does not exist"
"メッシュオブジェクトではありません","Mesh objects are not"
"シェイプブロックの名前をオブジェクト名に","Block shape name in the object name"
"シェイプブロックの名前をオブジェクト名と同じにします","Same as object name the name of the shape blocks"
"全てのシェイプにキーフレームを打つ","Hit the keyframes of all shapes"
"現在のフレームに、全てのシェイプのキーフレームを挿入します","Inserts a keyframe for all shapes on the current frame"
"最上段を選択","Select the top"
"一番上のシェイプキーを選択します","Select the top shape key"
"最下段を選択","Select the bottom row"
"一番下のシェイプキーを選択します","Select the bottom shape key"
"現在の形状を保持して全シェイプ削除","Remove all shape and holds the shape of the current"
"現在のメッシュの形状を保持しながら全シェイプキーを削除します","Remove all shape key while maintaining the shape of the mesh current"
"空の頂点グループを削除","Delete the empty vertex groups"
"メッシュにウェイトが割り当てられていない頂点グループを削除します","Remove the weights assigned to the mesh vertex groups"
"ミラーの対になる空頂点グループを追加","Add the empty vertex group versus the mirror"
".L .R などミラーの命令規則に従って付けられたボーンの対になる空の新規ボーンを追加します",". L... R, add new bone bones according to mandate rule in Miller vs. empty"
"一番上を選択","Select the top"
"頂点グループの一番上の項目を選択します","Select the item at the top of the vertex groups"
"一番下を選択","At the bottom, select"
"頂点グループの一番下の項目を選択します","Select the item at the bottom of the vertex groups"
"最上段へ","To the top"
"アクティブな頂点グループを一番上へ移動させます","Move to the top active vertex groups"
"最下段へ","To the bottom"
"アクティブな頂点グループを一番下へ移動させます","Move to the bottom vertex group active"
"特定文字列が含まれる頂点グループ削除","Delete a vertex group that contains a specific string"
"指定した文字列が名前に含まれている頂点グループを全て削除します","Removes all vertex group names contains the specified string"
"削除する名前の一部","Part of the name that you want to delete"
"個の頂点グループを削除しました","Removed the vertex groups"
"メッシュオブジェクトで実行して下さい","Please run the mesh object"
"このノードを全マテリアルにコピー","Copy all materials to this node"
"現在表示されているノードツリーを他の全マテリアル(選択オブジェクトのみも可)に複製します","Nodes currently displayed with all other materials (selection also allowed) to duplicate"
"選択オブジェクトのみ","Only the selected object"
"ﾉｰﾄﾞ使用済の場合のみ","Only used for those nodes"
"シェーダーノードで実行して下さい","Please run the shader nodes"
"プロパティタブを切り替え","Switch to properties tab"
"プロパティのタブを順番に切り替えます","Turn switch Properties tab"
"左へ","To the left"
"現在のタブが予期せぬ設定値です","Is the current tab is unexpected"
"テクスチャ名を使用する画像ファイル名に","Image file name to use the texture name"
"アクティブなテクスチャの名前を使用している外部画像のファイル名にします","The file name of the external images using the name of the active texture"
"拡張子も含む","Including the extension"
"画像/動画テクスチャで実行してください","Try image / video textures"
"画像が指定されていません","Image is not specified"
"画像/動画テクスチャで実行してください","Try image / video textures"
"テクスチャスロットを全て空に","Texture slot, all in the sky"
"アクティブなマテリアルの全てのテクスチャスロットを空にします","Empties all active material texture slots"
"最上段へ","To the top"
"アクティブなテクスチャスロットを一番上に移動させます","Move the active texture slot at the top"
"最下段へ","To the bottom"
"アクティブなテクスチャスロットを一番下に移動させます","Move the active texture slot at the bottom"
"キーバインド検索","Search key bindings"
"設定したキーバインドに一致する割り当てを検索します","Find matching key bindings you set assignment"
"検索するキーが空です、設定してください","Set the search key is empty"
"キーコンフィグを全て閉じる","Close all game"
"キーコンフィグのメニューを全て折りたたみます","Collapses all the game menu"
"ショートカット一覧をブラウザで閲覧","View in browser shortcut list"
"Blenderの全てのショートカットをブラウザで確認出来ます","Please see the browser all shortcuts in Blender"
"<b>【 ","<b>【 "
" 】</b><br><br>"," 】</b><br><br>"
")　",")　"
"(常に)　","(Always)　"
"」メニューの呼び出し",""Call menu"
"」を「",""'"
"」に変更",""To change"
"」の切り替え",""The switch"
"」を「",""'"
"」と「",""And""
"」に切り替え",""To switch"
"」メニューの呼び出し",""Call menu"
"　<font size='2' color='#","　<font size = ' 2 ' color = ' #"
"最後のコマンドをショートカットに登録","Last command create shortcut"
"最後に実行したコマンドをショートカットに登録します","Last command create shortcut"
"(変更しないで)","(Do not change)"
"(変更しないで)","(Do not change)"
"(変更しないで)","(Do not change)"
"ウィンドウ","Window"
"スクリーン","Screen"
"スクリーン編集","Screen edit"
"2Dビュー","2D view"
"フレーム","Frame"
"ヘッダー","Header"
"2Dビューボタンリスト","2-D view buttons list"
"プロパティエディター","Property editor"
"3Dビュー全般","3D view general"
"グリースペンシル","Grease pencil"
"グリースペンシルストローク編集モード","Grease pencil stroke edit mode"
"面のマスク","Face mask"
"ウェイトペイント頂点選択","Weight painting vertex selection"
"ポーズ","Pose"
"オブジェクトモード","Object mode"
"ペイントカーブ","Paint curves"
"カーブ","Curve"
"画像ペイント","Paint a picture"
"頂点ペイント","Vertex paint"
"ウェイトペイント","Weight paint"
"スカルプト","Sculpt"
"メッシュ","Mesh"
"アーマチュア","Armature"
"メタボール","Metaballs"
"ラティス","Lattice"
"パーティクル","Particle"
"フォント","Font"
"オブジェクト非モーダル","Object non-modal"
"3Dビュー","3D view"
"アウトライナー","Out liner"
"情報","Information"
